Classe;CODIGO;NOME;NOME_ABREV;Pes;Tipo
ICC;27646;ICC - Pessoas jurídicas - Crédito Parcelado - Total;ICC_PJ_PARCELADO_TOTAL;PJ;Total
ICC;27690;ICC - Pessoas jurídicas - Crédito rural total;ICC_PJ_CRDRUR_TOTAL;PJ;Total
ICC;27693;ICC - Pessoas jurídicas - Financiamento imobiliário total;ICC_PJ_FINIMOB_TOTAL;PJ;Total
ICC;27645;ICC - Crédito parcelado - Total;ICC_PARCELADO_TOTAL;TT;Total
ICC;25358;ICC - Pessoas jurídicas - Recursos direcionados - Total;ICC_PJ_RD_TOTAL;PJ;Direcionado
ICC;25357;ICC - Recursos direcionados - Total;ICC_RD_TOTAL;TT;Direcionado
ICC;27672;ICC - Pessoas físicas - Cheque especial;ICC_PF_CHQESPECIAL;PF;Livre
ICC;27684;ICC - Pessoas físicas - Cartão de crédito rotativo;ICC_PF_CARCRDROTATIVO;PF;Livre
ICC;27685;ICC - Pessoas físicas - Cartão de crédito parcelado;ICC_PF_CARCRDPARCELADO;PF;Livre
ICC;27656;ICC - Pessoas jurídicas - Conta garantida;ICC_PJ_CONGARANTIDA;PJ;Livre
ICC;27657;ICC - Pessoas jurídicas - Cheque especial;ICC_PJ_CHQESPECIAL;PJ;Livre
ICC;27664;ICC - Pessoas jurídicas - Cartão de crédito rotativo;ICC_PJ_CARCRDROTATIVO;PJ;Livre
ICC;27665;ICC - Pessoas jurídicas - Cartão de crédito parcelado;ICC_PJ_CARCRDPARCELADO;PJ;Livre
ICC;27686;ICC - Pessoas físicas - Cartão de crédito total;ICC_PF_CARCRD_TOTAL;PF;Total
ICC;27666;ICC - Pessoas jurídicas - Cartão de crédito total;ICC_PJ_CARCRD_TOTAL;PJ;Total
ICC;25356;ICC - Pessoas físicas - Recursos livres - Total;ICC_PF_RL_TOTAL;PF;Livre
ICC;25353;ICC - Pessoas físicas - Total;ICC_PF_TOTAL;PF;Total
ICC;25355;ICC - Pessoas jurídicas - Recursos livres - Total;ICC_PJ_RL_TOTAL;PJ;Livre
ICC;25352;ICC - Pessoas jurídicas - Total;ICC_PJ_TOTAL;PJ;Total
ICC;25354;ICC - Recursos livres - Total;ICC_RL_TOTAL;TT;Livre
ICC;25351;ICC - Total;ICC_TOTAL;TT;Total
Atraso;21003;Atraso entre 15 e 90 dias - Total;ATR_TOTAL;TT;Total
Atraso;21004;Atraso entre 15 e 90 dias - Pessoas jurídicas - Total;ATR_PJ_TOTAL;PJ;Total
Atraso;21005;Atraso entre 15 e 90 dias - Pessoas físicas - Total;ATR_PF_TOTAL;PF;Total
Atraso;21006;Atraso entre 15 e 90 dias - Recurso Livre - Total;ATR_RL_TOTAL;TT;Livre
Atraso;21007;Atraso entre 15 e 90 dias - Pessoas jurídicas - Recurso Livre - Total;ATR_PJ_RL_TOTAL;PJ;Livre
Atraso;21008;Atraso entre 15 e 90 dias - Pessoas jurídicas - Desconto de duplicatas e recebíveis;ATR_PJ_DESDUPLICATAS;PJ;Livre
Atraso;21009;Atraso entre 15 e 90 dias - Pessoas jurídicas - Desconto de cheques;ATR_PJ_DESCHEQUES;PJ;Livre
Atraso;21010;Atraso entre 15 e 90 dias - Pessoas jurídicas - Antecipação de faturas de cartão de crédito;ATR_PJ_ANTFATCARCREDITO;PJ;Livre
Atraso;21011;Atraso entre 15 e 90 dias - Pessoas jurídicas - Capital de giro com prazo de até 365 dias;ATR_PJ_CAPGIRPRZATE365;PJ;Livre
Atraso;21012;Atraso entre 15 e 90 dias - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias;ATR_PJ_CAPGIRPRZSUP365;PJ;Livre
Atraso;21013;Atraso entre 15 e 90 dias - Pessoas jurídicas - Capital de giro rotativo;ATR_PJ_CAPGIRROTATIVO;PJ;Livre
Atraso;21014;Atraso entre 15 e 90 dias - Pessoas jurídicas - Capital de giro total;ATR_PJ_CAPGIR_TOTAL;PJ;Livre
Atraso;21015;Atraso entre 15 e 90 dias - Pessoas jurídicas - Conta garantida;ATR_PJ_CONGARANTIDA;PJ;Livre
Atraso;21016;Atraso entre 15 e 90 dias - Pessoas jurídicas - Cheque especial;ATR_PJ_CHQESPECIAL;PJ;Livre
Atraso;21017;Atraso entre 15 e 90 dias - Pessoas jurídicas - Aquisição de veículos;ATR_PJ_AQUVEICULOS;PJ;Livre
Atraso;21018;Atraso entre 15 e 90 dias - Pessoas jurídicas - Aquisição de outros bens;ATR_PJ_AQUOUTBENS;PJ;Livre
Atraso;21019;Atraso entre 15 e 90 dias - Pessoas jurídicas - Aquisição de bens total;ATR_PJ_AQUBENSTT;PJ;Livre
Atraso;21020;Atraso entre 15 e 90 dias - Pessoas jurídicas - Arrendamento mercantil de veículos;ATR_PJ_ARRMERVEICULOS;PJ;Livre
Atraso;21021;Atraso entre 15 e 90 dias - Pessoas jurídicas - Arrendamento mercantil de outros bens;ATR_PJ_ARRMEROUTBENS;PJ;Livre
Atraso;21022;Atraso entre 15 e 90 dias - Pessoas jurídicas - Arrendamento mercantil total;ATR_PJ_ARRMERCTT;PJ;Livre
Atraso;21023;Atraso entre 15 e 90 dias - Pessoas jurídicas - Vendor;ATR_PJ_VENDOR;PJ;Livre
Atraso;21024;Atraso entre 15 e 90 dias - Pessoas jurídicas - Compror;ATR_PJ_COMPROR;PJ;Livre
Atraso;21025;Atraso entre 15 e 90 dias - Pessoas jurídicas - Cartão de crédito rotativo;ATR_PJ_CARCRDROTATIVO;PJ;Livre
Atraso;21026;Atraso entre 15 e 90 dias - Pessoas jurídicas - Cartão de crédito parcelado;ATR_PJ_CARCRDPARCELADO;PJ;Livre
Atraso;21027;Atraso entre 15 e 90 dias - Pessoas jurídicas - Cartão de crédito total;ATR_PJ_CARCRD_TOTAL;PJ;Livre
Atraso;21028;Atraso entre 15 e 90 dias - Pessoas jurídicas - Adiantamento sobre contratos de câmbio (ACC);ATR_PJ_ACC;PJ;Livre
Atraso;21029;Atraso entre 15 e 90 dias - Pessoas jurídicas - Financiamento a importações;ATR_PJ_FINIMPORTACOES;PJ;Livre
Atraso;21030;Atraso entre 15 e 90 dias - Pessoas jurídicas - Financiamento a exportações;ATR_PJ_FINEXPORTACOES;PJ;Livre
Atraso;21031;Atraso entre 15 e 90 dias - Pessoas jurídicas - Repasse externo;ATR_PJ_REPEXTERNO;PJ;Livre
Atraso;21032;Atraso entre 15 e 90 dias - Pessoas jurídicas - Outros créditos livres;ATR_PJ_OUTROSLIVRES;PJ;Livre
Atraso;21033;Atraso entre 15 e 90 dias - Pessoas físicas - Recurso Livre - Total;ATR_PF_RL_TOTAL;PF;Livre
Atraso;21034;Atraso entre 15 e 90 dias - Pessoas físicas - Cheque especial;ATR_PF_CHQESPECIAL;PF;Livre
Atraso;21035;Atraso entre 15 e 90 dias - Pessoas físicas - Crédito pessoal não consignado;ATR_PF_CRDPESNAOCONSIGNADO;PF;Livre
Atraso;21036;Atraso entre 15 e 90 dias - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas;ATR_PF_CRDPESNAOCONVINCOMPOSICAO;PF;Livre
Atraso;21037;Atraso entre 15 e 90 dias - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado;ATR_PF_CRDPESCONTRASETPRIVADO;PF;Livre
Atraso;21038;Atraso entre 15 e 90 dias - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor público;ATR_PF_CRDPESCONTRASETPUBLICO;PF;Livre
Atraso;21039;Atraso entre 15 e 90 dias - Pessoas físicas - Crédito pessoal consignado para aposentados e pensionistas do INSS;ATR_PF_CRDPESCONAPOINSS;PF;Livre
Atraso;21040;Atraso entre 15 e 90 dias - Pessoas físicas - Crédito pessoal consignado total;ATR_PF_CRDPESCON_TOTAL;PF;Livre
Atraso;21041;Atraso entre 15 e 90 dias - Pessoas físicas - Crédito pessoal total;ATR_PF_CRDPES_TOTAL;PF;Livre
Atraso;21042;Atraso entre 15 e 90 dias - Pessoas físicas - Aquisição de veículos;ATR_PF_AQUVEICULOS;PF;Livre
Atraso;21043;Atraso entre 15 e 90 dias - Pessoas físicas - Aquisição de outros bens;ATR_PF_AQUOUTBENS;PF;Livre
Atraso;21044;Atraso entre 15 e 90 dias - Pessoas físicas - Aquisição de bens total;ATR_PF_AQUBENSTT;PF;Livre
Atraso;21045;Atraso entre 15 e 90 dias - Pessoas físicas - Arrendamento mercantil de veículos;ATR_PF_ARRMERVEICULOS;PF;Livre
Atraso;21046;Atraso entre 15 e 90 dias - Pessoas físicas - Arrendamento mercantil de outros bens;ATR_PF_ARRMEROUTBENS;PF;Livre
Atraso;21047;Atraso entre 15 e 90 dias - Pessoas físicas - Arrendamento mercantil total;ATR_PF_ARRMERCTT;PF;Livre
Atraso;21048;Atraso entre 15 e 90 dias - Pessoas físicas - Cartão de crédito rotativo;ATR_PF_CARCRDROTATIVO;PF;Livre
Atraso;21049;Atraso entre 15 e 90 dias - Pessoas físicas - Cartão de crédito parcelado;ATR_PF_CARCRDPARCELADO;PF;Livre
Atraso;21050;Atraso entre 15 e 90 dias - Pessoas físicas - Cartão de crédito total;ATR_PF_CARCRD_TOTAL;PF;Livre
