data_base;uf;segmento;carteira_ativa;carteira_inadimplencia;inadimplencia_pct
2025-12-31;PR;Fintech;46931458.11;1886226.73;4.02
2025-12-31;RJ;Banco;52085941877.91;3936479256.88;7.56
2025-12-31;RJ;Fintech;48081231.86;4755738.28;9.89
2025-12-31;RN;Banco;7205246914.9;721832796.09;10.02
2025-12-31;RN;Fintech;17329118.32;1815426.21;10.48
2025-12-31;RO;Banco;3569262779.37;253455803.81;7.1
2025-12-31;RO;Fintech;3232772.54;266411.08999999997;8.24
2025-12-31;RR;Banco;1174550716.2;119627809.82000001;10.18
2025-12-31;RR;Fintech;1838486.77;196089.38;10.67
2025-12-31;RS;Banco;22869572132.44;1795750950.7;7.85
2025-12-31;RS;Fintech;42560183.44;2938831.83;6.91
2025-12-31;SC;Banco;20632262210.06;1127420386.66;5.46
2025-12-31;SC;Fintech;37290585.56;1442793.11;3.87
2025-12-31;SE;Banco;5201544279.46;487521954.55;9.37
2025-12-31;SE;Fintech;7646301.0;673181.6;8.8
2025-12-31;SP;Banco;161867937992.38;11918478609.95;7.36
2025-12-31;SP;Fintech;261726912.47;12048571.36;4.6
2025-12-31;TO;Banco;2876063290.37;251628807.59;8.75
2025-12-31;TO;Fintech;4202912.7;265155.78;6.31
